genre,fullplot,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film-noir,history,horror,music,musical,mystery,romance,sci-fi,short,sport,thriller,war,western
"['animation', 'sci-fi', 'short']","Yoko's cat Yuki hasn't shown up for diner and this really concerns her as the cat never misses a meal. She starts looking, asking neighbors if they have seen the animal. Then, one boy mentions seeing Yuki around the 'Haunted House', further up in the city. It's a favorite playground of the boy's group of friends. Yoko soon finds out this isn't an ordinary place. Objects are disappearing, feathers turns into birds and gravity seems to be absent. But Yoko soon finds out the existence of the place is also known by a group of rather reckless people.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"['action', 'biography', 'crime']","The movie portrays Norway's most spectacular robbery, where 11 men occupied central Stavanger for twenty minutes and escaped with 57 million kroner (appx $10 million). A police officer was shot and killed.",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['family', 'fantasy']",The Snow Queen is a powerful story of friendship and the triumph of love over wickedness. The story follows a young woman who is forced to battle the wicked snow queen in order to save the soul of the man she loves.,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
['drama'],"In post-war Japan, a man brings a lost boy to his tenement. No one wants to take the child for even one night; finally, a sour widow, Tan�, does. The next day, complaining, she takes the boy to his neighborhood and finds his father has gone to Tokyo; it seems the boy has been abandoned. Tan� wants to leave him there, but he follows her home. The next morning he disappears fearing a scolding after wetting the bed. Tan� realizes she likes having him there, searches for him, and keeps him when he's found that night. Within days, she considers him her son.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['fantasy', 'musical', 'romance']",An adaptation of the classic fairy-tale about a monstrous prince and a young woman who fall in love.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"['crime', 'drama', 'thriller']","Giorgio Pellegrini, a former left-wing activist turned terrorist has fled to Central America and fought with a guerrilla movement. Fifteen years later he is fed up with living in the jungle and decides to return to Italy. What he wants is to lead a comfortable bourgeois life in his native country. Thanks to Anedda, a corrupt police inspector, and after giving away former comrades, he obtains a reduced jail sentence. Once released from prison he obsessively pursues his dream of becoming a ""respectable"" citizen, even if the way to it is paved with larceny, pimping, drug-dealing, rape, heist and murder...",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"['crime', 'mystery', 'thriller']","Popular TV anchorwoman and late night radio host Sun-Young (Soo-Ae) prepares to work her final radio program. After this program she will prepare to take her ill daughter to America the following morning. During the radio show Ko Sun-Young receives a startling text message. At Ko Sun-Young's apartment, her ill daughter is being watched by Sun-Young's sister Ah-Young (Shin Da-Eun). Then, a man named Dong-Su (Yoo Ji-Tae) breaks into the apartment with a large wrench. He knocks Ah-Young unconscious, but is unable to locate Sun-Young's daughter - who is hiding in a closet. Dong-Su then sends the text message to Sun-Young instructing her to follow his directions and not to tell anyone.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"['action', 'biography', 'drama']","Based on the life and career of Martial Arts superstar, Bruce Lee. Haunted by demons. Bruce was taught Martial arts at childhood. Bruce then was told by his father to flee to the United States. There, he opened up a Martial Arts school, then was chosen to be the Green Hornet's sidekick, Kato. Then, his big movie career that included ""The Big Boss"" and ""Enter the Dragon"". Fighting many enemies along the way, including his childhood demon.",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['documentary'],"One of the largest and most controversial legal cases on the planet. An inside look at the infamous $27 billion ""Amazon Chernobyl"" case, CRUDE is a real-life high stakes legal drama set against a backdrop of the environmental movement, global politics, celebrity activism, human rights advocacy, the media, multinational corporate power, and rapidly-disappearing indigenous cultures. Presenting a complex situation from multiple viewpoints, the film examines a complicated situation from several angles while bringing a story of environmental peril and human suffering into focus.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['documentary'],"In the early 1960's, Henry Ford II and Enzo Ferrari went to war on the battlefield of Le Mans and tested the limits of international racing. This epic battle saw driver's lose their lives, family dynasty's nearly collapse and the development the Ford GT40 race car.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['drama', 'horror', 'thriller']","Peter and Carla have a wasted marriage and constant friction. Peter buys expensive camping gear and, despite the protests of Carla, insists they travel with their dog Cricket to camp on the isolated Moondah Beach in the North Coast with his friend Luke and his girlfriend during the rainy holiday. Peter stops in a pub at the Eggleston Hotel and leaves a message for Luke with the owner of the pub. When Peter takes what he believes to be shortcut to the beach, he gets lost and the couple spends the night sleeping in their SUV. The next morning, Peter organizes the campsite and their intrusion into and abuse of the natural environment begins. During the two days, the couple's relationship deteriorates while the nature avenges the bad treatment the couple has inflicted upon it.",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"['biography', 'comedy', 'drama']","Based on the autobiography of Gypsy Rose Lee, this made-for-TV movie-previously a Broadway smash and a 1962 film-depicts the life and times of a stripper and her domineering mother.",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['drama', 'thriller']","A desperate American couple discovers all is not what it seems when they uncover a high-stakes underground scam while traveling abroad. To expose the truth and get back to the U.S., they must risk their lives to save their daughter.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"['horror', 'mystery', 'thriller']","Reiko Asakawa is researching into a 'Cursed Video' interviewing teenagers about it. When her niece Tomoko dies of 'sudden heart failure' with an unnaturally horrified expression on her face, Reiko investigates. She finds out that some of Tomoko's friends, who had been on a holiday with Tomoko the week before, had died on exactly the same night at the exact same time in the exact same way. Reiko goes to the cabin where the teens had stayed and finds an 'unlabeled' video tape. Reiko watched the tape to discover to her horror it is in fact the 'cursed videotape'. Ex-Husband Ryuji helps Reiko solve the mystery, Reiko makes him a copy for further investigation. Things become more tense when their son Yoichi watches the tape saying Tomoko had told him to. Their discovery takes them to a volcanic island where they discover that the video has a connection to a psychic who died 30 years ago, and her child Sadako...",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"['comedy', 'drama', 'fantasy']",Kaneshiro plays a Grim Reaper who appears to his victims in human form and spends a week with them before deciding whether to off them or not.,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"['crime', 'western']","Twenty-five years ago the Lavery baby was kidnapped. Bad guy Leffingwell gets Choya to impersonate the son to gain the Lavery estate. When he finally fesses up to his ""sister"" Ruth she is furious. To redeem himself he sets out to find the real son.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['adventure', 'biography', 'drama']","Amelia Earhart, a Kansas girl, discovers the thrill of aviation at age 23, and within 12 years has progressed to winning the Distinguished Flying Cross for being the first woman to pilot a plane solo across the Atlantic Ocean. At age 39, she sets out on an attempt to circumnavigate the globe, an adventure that catapults her into aviation myth.",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['comedy'],"A boxer named Manny, battling a potentially life-threatening brain injury, finds his soul to be the object of a metaphysical fight. Two different supernatural agents are sent to win over his soul to their side: one is an angel from a curious version of Heaven, that looks just like a beatific Paris, and in it everyone speaks French; and the other agent is a waitress from Hell, sent to seduce him to spend his eternity in a red-tinted prison where everyone speaks English.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['comedy'],"It is the summer of 1974. After the Turkish invasion in Cyprus the greek dictatorship mobilises the army. A small squad in northern Greece is ordered among others to go to Cyprus, but when the dictatorship falls, the soldiers are left in the island of Samothrace awaiting orders. As days pass things are getting out of control...",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['drama'],"Jacques Laurent made pornographic films in the 1970's and '80's, but had put that aside for 20 years. His artistic ideas, born of the '60's counter-culture, had elevated the entire genre. Older and paunchier, he is now directing a porno again. Jacques's artistry clashes with his financially-troubled producer's ideas about shooting hard-core sex. Jacques has been estranged from his son Joseph for years, since the son first learned the nature of the family business. They are now speaking again. Joseph and his friends want to recapture the idealism of 1968 with a protest. Separated from his wife, Jacques strives for personal renewal with plans to build a new house by himself...",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['comedy', 'drama', 'mystery']","Marie, 40, wakes up one morning believing she's 30. She's forgotten 10 years of her life. She wakes up at the beginning of a romance, which is in fact ending. She wakes up and has 4 days to make the man of her life fall in love with her again.",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
['horror'],"As a young child Luther The Geek or ""The Freak"" witnesses a band of men goading a geek (a man who bites off chicken's heads and drinks the blood) into performing. In the ensuing hullabaloo, Luther bites his lip and likes the taste of blood. Flash forward some thirty years and a parole board is meeting to discuss Luther's release. It seems the cheeky blighter has been murdering folk in the meantime. A dopey parole board trainee sides with the liberals and so Luther is unleashed, except now he has a special pair of customised metal teeth. Luther then proceeds to ""bite the heads off"" of many hapless folk until the tense ending. This movie is most notable for it's bare dialogue, whole stretches pass without a sound. Most of the audio is composed of Luther clucking insanely like a chicken. The film is centred around a farm and the mother and daughter who live there. Other main characters include the daughter's dumb boyfriend and an inefficient local law officer.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"['crime', 'drama', 'thriller']","Three diverse characters, for the most part intellectually challenged, find a deserted plane with a bag full of millions of dollars inside. They devise a simple plan to keep the money if no-one claims it. Ofcourse, nothing turns out simple...",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"['adventure', 'comedy', 'crime']","A tontine is established for a dozen children, a tontine being a kind of bet/insurance, money is put in for each to grow with interest and the last survivor is to get the lot. We watch the group dwindle until only two brothers are left. One brother is watched by his nephews who will keep him alive at all costs, the other lives in ill health and poverty as the only support of his fairly stupid grandson. Statues and bodies are switched, in the wrong boxes until everyone is sure someone has died. Now if they can only make it seem as if the other brother died first, hundreds of thousands of pounds (in Victorian England when a pound was a pound) will be theirs.",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['action'],"In the clandestine research tower of a ruthless Japanese security and arms company, Saisei Security, scientist MALI awakens employed mercenaries killed in combat, their death giving rise to a new, vicious breed of zombie... ZOMBIE NINJAS. Trapped amongst unsuspecting civilians, including former tactical operative DILLON (Adam T Perkins), the ZOMBIE NINJAS commanded by a ferocious leader (Soa 'The Hulk' Palelei) are unleashed in the inner city high-rise. They soon face off with the covert response mission deployed to fight back. This elite black ops team underestimates the brutality of their encounter, which ultimately tests their loyalty and friendship, resulting in a frightful assault between these two highly skilled lethal forces and DILLON thrust in the middle fighting for survival.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['adventure', 'comedy', 'family']","Doctor Dolittle is a world-renowned veterinarian who speaks a wide array of animal languages. He sets off from his home in Puddleby-on-the-Marsh, England, in search of the Great Pink Sea Snail. In so doing, he and his friends meet such exotic creatures as the Pushme-Pullyu and the Giant Lunar Moth. This musical is the source of the hit song, ""If I Could Talk To The Animals.""",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['crime', 'drama', 'thriller']","Beautiful Carmen Colson and her ironworker husband Wayne are placed in the Federal Witness Protection program after witnessing an extortion scheme go wrong. Thinking they are at last safe, they are targeted by an experienced intimidating hit man and a psychopathic young upstart killer. The ensuing struggle will test Carmen to the limit.",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"['mystery', 'thriller']","Sent from the city to investigate the murder of a teenage girl in a small Alaska town, a police detective (Pacino) accidentally shoots his own partner while trying to apprehend a suspect. Instead of admitting his guilt, the detective is given an unexpected alibi, but this ""solution"" only multiplies the emotional complexity and guilt over his partner's death. He's also still got a murder to solve, in addition to the blackmail and framing of an innocent bystander being orchestrated by the man they were chasing. There's also a local detective (Swank) who is conducting her own personal investigation... of his partner's death. Will it all come crashing down on him?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
['horror'],"Curandero: Dawn of the Demon is an action-packed horror flick that takes a couple on a horrifying journey through the deepest bowels of the Mexican underworld. When beautiful federal agent Magdalena calls upon the local curandero (Gallardo) for his services to purify a police station, the two of suddenly find themselves immersed in a satanic cult's blood-thirsty battleground.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"['drama', 'romance']",Mary Linden is the secretary who is the unheralded power behind successful executive James Duneen. He takes her for granted until rival Wales tries to take her away from him.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"['short', 'action', 'comedy']","Jesus is always willing to lend a hand to those in need, but there are others ... that will taste his fist.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"['adventure', 'comedy', 'music']",Two bumbling service station attendants are left as the sole beneficiaries in a gangster's will. Their trip to claim their fortune is sidetracked when they are stranded in a haunted house along with several other strangers.,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
['drama'],"A soldier (Dennis Hopper) returns from Vietnam on special assignment, accompanying the body of his friend by train to California for burial. During the trip, he falls in love with a gentle college student. But their relationship is shattered by his flashbacks to combat.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['comedy', 'drama', 'romance']","A slacker hatches a million-dollar idea. But, in order to see it through, he has to learn to trust his attractive corporate counterpart. Based on Max Barry's novel.",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"['drama', 'mystery', 'thriller']","Ex-detective Dave Robicheaux has made a new life for himself and his wife Annie running a bait shop in the outskirts of New Orleans. When they save a little girl, the sole survivor of a plane crash, their lives become forever changed. They take the orphan child into their home and prepare to raise her. However, a visit from DEA agent Dautrieve brings out the detective instincts in Robicheaux and he begins to ask about the rest of the passengers. This brings trouble to Robicheaux and he turns to drug lord Bubba Rocque, a childhood friend. But the friendship becomes estranged when an assault on the Robicheaux home leaves one victim...Annie.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
['sci-fi'],"The Martians don't actually are actually protecting themselves from US!!!... since the Earth probe landed on their planet they are taking measures to ensure their security by replacing our scientists with doppelgangers who report nothing. A very insightful film that was under-rated and ahead of it's time, with a 1963 vision of a primitive mars rover.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"['short', 'comedy', 'drama']",A paraplegic man leaves home for the first time only to discover that life on the outside is not like he had imagined it.,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"['comedy', 'drama', 'romance']",Cassie has come to New York and goes to work as a model where her friend Gladys works. She falls in love with wealthy young Jerry who is already married. Gladys has the same probelm with her man Phelps.,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
['documentary'],A redemptive tale of an aspiring rap artist surviving failed levees and her own troubled past and seizing a chance for a new beginning.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['biography', 'drama', 'music']","Fact-based story about the drug-addled and sordid life of The Rolling Stones founder Brian Jones. Unfortunately the story moves so quickly into the sensationalized decadence and drug-induced state of Jones, that the unknowing viewer has to wonder why anyone would care. There are only a few framing sequences with members of The Stones, particularly Keith Richards, that show they had a great respect for him and tried to bring him back into the band as he drifted away. Mixed into the destruction of Jones is a common builder, Frank Thorogood, who is given the unenviable task of trying to please Jones by rebuilding his estate and to watch him per Jones' manager's instructions. Thorogood's life is so far removed from all of the sex and drugs that he sees, that he envies and desires the tawdry life as well, but never quite fits in. Unfortunately, at least according to this film and according to a supposed death bed confessional of Thorogood in 1993, it led to Thorogood's murder of Jones in a swimming pool ""accident"".",0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"['adventure', 'comedy', 'family']","The well-known little village from the Asterix and Obelix-comic books is in trouble: It is the last place not controlled by Rome. When Tax collector Claudius Incorruptus does not get his money from the villagers, Julius Caesar himself comes to the place to see what's so special about their resistance. A special magic potion, prepared by the village's druid, gives incredible power to those who drink it. And Obelix, who fell into the pot as a child has been invincible ever since. With the help of Tullius Destructivus, an intrigeur, the Romans try to get Obelix and the druid into their hands in order to wipe the little village off the map, when the last potion of it's stock has been used up. But each individual also has some plans of his own...",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['comedy'],"Armand Goldman owns a popular drag nightclub in South Miami Beach. His long-time lover, Albert, stars there as Starina. ""Their"" son Val (actually Armand's by his one heterosexual fling, twenty years before) comes home to announce his engagement to Barbara Keeley, daughter of Kevin Keeley, US Senator, and co-founder of the Committee for Moral Order. The Senator and family descend upon South Beach to meet Val, his father and ""mother."" What ensues is comic chaos.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['documentary'],"Using archival footage of and interviews about fashion designer and icon Halston (1932-1990), Whitney Smith looks at the 1970s in Manhattan. Smith is interested in the parties and the excess, which contrast with Halston's minimalist lines. There is a rough chronology for Halston: from milliner to couture to an unsuccessful attempt to bring his designs to the customers of J.C. Penney. The principal focus is on the world of Studio 54 and Halston's part in it.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['drama', 'western']","A group of naive boys find that life as desperadoes in the west is more serious that they understood when they embark on abortive careers in bushwhacking. Violence, betrayal, sombre colours and a Beckettsian whimsy mark this ironic western.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
['comedy'],"Don and Ellie were once married and have two children, Lyla and Jared. They adopt a boy from Colombia, Alejandro. Eventually they would divorce, Ellie would move away and Don would hook up with Bebe, Ellie's best friend. When Alejandro is about to get married, he informs Don and Ellie that he never told his natural mother who is so traditional that they got divorced. And she is coming for the wedding so he asks them if they can pretend to still be married. Don and Ellie reluctantly agree to it and Bebe moves out who is also upset that Don doesn't want to commit. Lyla who is married is going through a rough patch in her marriage. And Hared who hasn't had much luck with women finds himself attracted to Alejandro's extremely sensual sister, Huria.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['action', 'comedy', 'crime']","Four small-time criminals led by the seasoned, but realistic Mick, unite in a plot to steal a painting from a museum for a businessman who has emotional ties to it. By accident they steal the wrong painting and find themselves with an original Rembrandt worth millions. They eye a getaway from their everyday worries and debts, but instead their problems are only multiplied.",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['documentary', 'romance']","After two decades of filming weddings Doug had long wondered what became of those couples.. Are they still together? Is married life what they thought it would be? How have they navigated the inevitable ups and downs of marriage over the long haul? Driven by deep curiosity to answer these questions, he begins to track down and interview his wedding couples, juxtaposing wedding day flashbacks with present-day reality as he explores themes of love and marital commitment and to ask them all the same question: After years of being married, what would be your advice be for a young couple soon to be married?",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"['drama', 'music']","Paul, a teenager in the underground scene of early-nineties Paris, forms a DJ collective with his friends and together they plunge into the nightlife of sex, drugs, and endless music.",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"['crime', 'thriller']","The Spanish deep South, 1980. A series of brutal murders of adolescent girls in a remote and forgotten town bring together two disparate characters - both detectives in the homicide division - to investigate the cases. With deep divisions in their ideology, detectives Juan and Pedro must put aside their differences if they are to successfully hunt down a killer who for years has terrorized a community in the shadow of a general disregard for women rooted in a misogynistic past.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"['family', 'comedy']","The title says it all. There's a mix up involving stolen diamonds which Ernest has (naturally) made into a yo-yo and given to his would be girlfriend, Rene. But Rene wants a man of action, and doesn't think that Ernest fits the bill. After the bad guys come looking for the stolen diamonds and kidnap Rene, all of her fantasies come true as Ernest has to go to Africa to rescue her.",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['comedy'],"The popular Dr Kilmore is sacked after being discovered in a compromising position on the roof of the nurses' home. The patients are determined not to lose him, and so take on the might of the ""cutting"" Dr Tinkle and the overpowering Matron.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['drama'],"In a small town in the countryside in the south of Brazil, a teenager that uses the codename Mr. Tambourine Man spends his time in Internet, at school, smoking pot with his best friend Diego and with his dysfunctional mother. He dreams on leaving his hometown to watch a Bob Dylan's show but seems to be hopeless stranded in the spot.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['biography', 'drama', 'music']","British sisters Hilary du Pr� and Jacqueline du Pr� are both talented musicians, Hilary a flautist, Jackie a cellist. With regard to their musical prowess, they have always had a friendly competitive nature with each other, fueled in large part by the want of their pianist mother, Iris, for them to achieve musical greatness. But underlying this friendliness is a deep desire to be truly better than the other. Despite or perhaps in part because of her flamboyant performance style, the younger Jackie emerges from the shadows of older Hilary's more triumphant childhood successes to become the renowned musician in the family. Although both continue with their music and both end up marrying (Hilary to Kiffer Finzi, and Jackie to pianist Daniel Barenboim), Hilary focuses on her home life, whereas Jackie focuses on her career. A seemingly odd request by Jackie to Hilary is later understood, but Hilary's agreement to that request demonstrates the true nature of their loving but unusual sisterly relationship.",0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"['drama', 'romance', 'adventure']","In his final film, F.W. Murnau presents the tale of two young lovers on the idyllic island of Bora Bora in the South Pacific. Their life is shattered when the old warrior declares the girl to be the Chosen Maid and it is forbidden for any man to even look upon her. Refusing to accept a life apart, they run off to another island, one that is decadent and westernized. The boy works as a pearl diver but not quite understanding the concept of money, is soon in debt. When the old warrior tracks them down they again plan to run away but in a desperate attempt to pay off his debts, the boy dives for pearls in shark-infested waters. The boy is successful but fate seems determined to keep the two lovers apart.",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"['action', 'comedy']","Rollo decides to marry his sweetheart Betsy and sail to Honolulu. When she rejects him he decides to go alone but boards the wrong ship, the ""Navigator"" owned by Betsy's father. Unaware of this, Betsy boards the ship to look for her father. whom spies capture before cutting the ship loose. It drifts out to sea with the two socialites each unaware of there being anyone else on board.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['western'],"Noon is a gunfighter who has become amnesiac. Helped by Rimes, an outlaw who has befriended him, he tries to figure out who he is actually. It gradually appears that his wife and kid have been murdered. As time goes by, Noon also recalls a fortune hidden somewhere. Niland, a scheming judge, and Peg Cullane, a greedy will do everything to prevent Noon and Rimes from achieving their end while Fan Davidge, a woman living in a ghost town, will support them.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
